line_code	Envs	Value	Traits
Line113	A	78	DTA
Line113	B	68	DTA
Line113	C	63	DTA
Line113	D	59	DTA
Line114	A	76	DTA
Line114	B	70	DTA
Line114	C	63	DTA
Line114	D	60	DTA
Line118	A	75	DTA
Line118	B	67	DTA
Line118	C	62	DTA
Line118	D	56	DTA
Line122	A	85	DTA
Line122	B	74	DTA
Line122	C	68	DTA
Line122	D	61	DTA
Line123	A	80	DTA
Line123	B	70	DTA
Line123	C	63	DTA
Line123	D	58	DTA
Line124	A	84	DTA
Line124	B	75	DTA
Line124	C	71	DTA
Line124	D	61	DTA
Line129	A	76	DTA
Line129	B	69	DTA
Line129	C	63	DTA
Line129	D	59	DTA
Line131	A	77	DTA
Line131	B	70	DTA
Line131	C	60	DTA
Line131	D	58	DTA
Line134	A	71	DTA
Line134	B	67	DTA
Line134	C	61	DTA
Line134	D	54	DTA
Line135	A	82	DTA
Line135	B	73	DTA
Line135	C	68	DTA
Line135	D	64	DTA
Line137	A	81	DTA
Line137	B	72	DTA
Line137	C	67	DTA
Line137	D	59	DTA
Line138	A	82	DTA
Line138	B	72	DTA
Line138	C	66	DTA
Line138	D	58	DTA
Line142	A	83	DTA
Line142	B	72	DTA
Line142	C	67	DTA
Line142	D	60	DTA
Line144	A	78	DTA
Line144	B	71	DTA
Line144	C	65	DTA
Line144	D	59	DTA
Line147	A	73	DTA
Line147	B	68	DTA
Line147	C	63	DTA
Line147	D	56	DTA
Line151	A	77	DTA
Line151	B	69	DTA
Line151	C	65	DTA
Line151	D	59	DTA
Line152	A	88	DTA
Line152	B	79	DTA
Line152	C	72	DTA
Line152	D	63	DTA
Line156	A	79	DTA
Line156	B	70	DTA
Line156	C	66	DTA
Line156	D	59	DTA
Line166	A	74	DTA
Line166	B	67	DTA
Line166	C	60	DTA
Line166	D	58	DTA
Line167	A	74	DTA
Line167	B	67	DTA
Line167	C	61	DTA
Line167	D	57	DTA
Line170	A	79	DTA
Line170	B	71	DTA
Line170	C	64	DTA
Line170	D	60	DTA
Line171	A	76	DTA
Line171	B	67	DTA
Line171	C	62	DTA
Line171	D	58	DTA
Line176	A	75	DTA
Line176	B	70	DTA
Line176	C	63	DTA
Line176	D	58	DTA
Line179	A	72	DTA
Line179	B	64	DTA
Line179	C	62	DTA
Line179	D	54	DTA
Line186	A	79	DTA
Line186	B	69	DTA
Line186	C	63	DTA
Line186	D	59	DTA
Line191	A	75	DTA
Line191	B	69	DTA
Line191	C	65	DTA
Line191	D	58	DTA
Line194	A	75	DTA
Line194	B	69	DTA
Line194	C	62	DTA
Line194	D	56	DTA
Line195	A	75	DTA
Line195	B	69	DTA
Line195	C	61	DTA
Line195	D	58	DTA
Line203	A	79	DTA
Line203	B	69	DTA
Line203	C	62	DTA
Line203	D	59	DTA
Line204	A	78	DTA
Line204	B	70	DTA
Line204	C	63	DTA
Line204	D	57	DTA
Line205	A	79	DTA
Line205	B	71	DTA
Line205	C	65	DTA
Line205	D	58	DTA
Line206	A	76	DTA
Line206	B	68	DTA
Line206	C	63	DTA
Line206	D	57	DTA
Line208	A	81	DTA
Line208	B	73	DTA
Line208	C	69	DTA
Line208	D	58	DTA
Line209	A	78	DTA
Line209	B	73	DTA
Line209	C	68	DTA
Line209	D	60	DTA
Line211	A	79	DTA
Line211	B	70	DTA
Line211	C	65	DTA
